iter	Logloss
0	0.5640248468
5	0.3268621152
10	0.2855890925
15	0.2732040779
20	0.2682851353
25	0.2659477857
30	0.2645491504
35	0.263733673
40	0.2630271755
45	0.2624456844
50	0.2619165036
55	0.2614422488
60	0.2609515828
65	0.2604082218
70	0.2599942264
75	0.2596456189
80	0.259267574
85	0.2588657074
90	0.2585687949
95	0.2581520301
100	0.2579113255
105	0.2576133104
110	0.2572480867
115	0.2568411942
120	0.2565383583
125	0.256167083
130	0.2557145984
135	0.2554289685
140	0.2550594625
145	0.2546331588
150	0.2542016496
155	0.2538010908
160	0.2535347696
165	0.2532369339
170	0.2528928908
175	0.2525587456
180	0.2521640588
185	0.2518778904
190	0.2515530277
195	0.2511789318
200	0.2509137901
205	0.2506017998
210	0.2503098876
215	0.2500540797
220	0.2497080108
