iter	Passed	Remaining
0	93	466438
1	187	469031
2	271	452108
3	366	458043
4	459	458951
5	542	451926
6	625	446073
7	826	515614
8	932	516930
9	1019	508826
10	1112	504372
11	1218	506524
12	1323	507572
13	1424	507434
14	1513	503151
15	1602	499032
16	1695	497031
17	1779	492410
18	1885	494238
19	1986	494617
20	2087	494875
21	2178	492878
22	2269	491156
23	2352	487670
24	2453	488341
25	2541	486282
26	2629	484321
27	2734	485554
28	2835	485989
29	2921	483922
30	3015	483309
31	3107	482491
32	3211	483410
33	3297	481617
34	3378	479298
35	3466	478050
36	3571	479022
37	3663	478423
38	3762	478617
39	3858	478431
40	3940	476584
41	4020	474656
42	4102	472919
43	4213	474619
44	4291	472547
45	4379	471638
46	4473	471459
47	4569	471414
48	4642	469072
49	4728	468139
50	4822	468004
51	4919	468146
52	5004	467161
53	5091	466352
54	5191	466727
55	5274	465662
56	5358	464665
57	5440	463532
58	5530	463153
59	5614	462247
60	5708	462206
61	5792	461353
62	5893	461867
63	5979	461198
64	6060	460160
65	6143	459297
66	6247	459977
67	6328	459000
68	6413	458324
69	6499	457762
70	6581	456877
71	6664	456119
72	6750	455593
73	6844	455606
74	6937	455574
75	7036	455864
76	7121	455327
77	7212	455146
78	7303	454969
79	7387	454330
80	7479	454203
81	7563	453635
82	7649	453138
83	7736	452782
84	7833	452948
85	7918	452460
86	7993	451376
87	8076	450819
88	8157	450125
89	8245	449836
90	8347	450324
91	8432	449866
92	8515	449327
93	8588	448272
94	8674	447860
95	8750	447011
96	8829	446320
97	8917	446042
98	9004	445755
99	9098	445818
100	9178	445209
101	9261	444754
102	9334	443789
103	9418	443411
104	9510	443351
105	9589	442727
106	9669	442181
107	9764	442301
108	9845	441764
109	9941	441957
110	10036	442059
111	10126	441963
112	10215	441813
113	10295	441250
114	10382	441043
115	10455	440209
116	10545	440113
117	10635	440025
118	10723	439829
119	10823	440156
120	10906	439793
121	10985	439231
122	11065	438770
123	11148	438370
124	11290	440334
125	11567	447464
126	11678	448118
127	11770	448033
128	11851	447517
129	11939	447267
130	12029	447115
131	12114	446759
132	12210	446843
133	12302	446761
134	12386	446380
135	12482	446419
136	12575	446383
137	12667	446305
138	12753	445998
139	12851	446122
140	12937	445845
141	13034	445935
142	13122	445713
143	13210	445489
144	13286	444879
145	13379	444834
146	13462	444449
147	13554	444351
148	13640	444096
149	13739	444256
150	13833	444221
151	13925	444155
152	14025	444314
153	14105	443875
154	14192	443619
155	14292	443794
156	14376	443477
157	14465	443290
158	14554	443142
159	14640	442872
160	14737	442936
161	14825	442744
162	14924	442895
163	15011	442663
164	15092	442244
165	15174	441901
166	15267	441836
167	15356	441671
168	15445	441534
169	15539	441514
170	15616	441014
171	15694	440551
172	15782	440360
173	15877	440364
174	15983	440683
175	16077	440669
176	16162	440415
177	16253	440318
178	16347	440278
179	16441	440274
180	16526	440000
181	16612	439768
182	16706	439762
183	16791	439509
184	16877	439276
185	16962	439022
186	17064	439217
187	17164	439330
188	17257	439294
189	17356	439403
190	17448	439330
191	17544	439335
192	17655	439740
193	17750	439724
194	17829	439342
195	17918	439176
196	18014	439202
197	18111	439240
198	18194	438949
199	18298	439166
200	18378	438791
201	18450	438243
202	18543	438200
203	18622	437817
204	18721	437908
205	18801	437536
206	18887	437334
207	18965	436938
208	19053	436770
209	19129	436323
210	19197	435720
211	19284	435549
212	19370	435346
213	19455	435106
214	19538	434854
215	19618	434516
216	19707	434374
217	19790	434109
218	19874	433880
219	19947	433406
220	20033	433214
221	20112	432867
222	20190	432507
223	20289	432602
224	20376	432436
